file_id,status,scene,scene_title,speaker_key,character,delivery_note,line,chars
vo_intro_001_anchor,SHIPPED,intro,INTRO CINEMATIC - ACN NEWSCAST (Part IV.0),anchor,ACN NEWS ANCHOR,"Broadcast open. Bright, professional, a little thrilled.","Good afternoon, Adventure City! We are LIVE at the tower plaza, where Super Dude Danny says he is about to end hunger. Forever!",127
vo_intro_002_pip,SHIPPED,intro,INTRO CINEMATIC - ACN NEWSCAST (Part IV.0),pip,PIP,"Shrieking with excitement, pointing.",It's him! It's SUPER DUDE DANNY!,32
vo_intro_003_danny,SHIPPED,intro,INTRO CINEMATIC - ACN NEWSCAST (Part IV.0),danny,SUPER DUDE DANNY,"Proud, nervous, presenting to a crowd. Big showman energy with a wobble under it.","Adventure City — today, we end hunger! Behold… the Nourish-Ray!",63
vo_intro_004_bloom,SHIPPED,intro,INTRO CINEMATIC - ACN NEWSCAST (Part IV.0),bloom,MAYOR ADA BLOOM,"Beaming, calling out from the crowd.","Make us a salad, Danny! A big healthy one!",42
vo_intro_005_danny,SHIPPED,intro,INTRO CINEMATIC - ACN NEWSCAST (Part IV.0),danny,SUPER DUDE DANNY,"Dawning horror, slow, quiet. The moment he knows.",…the code-core. No—no-no-no—,28
vo_intro_006_sal,SHIPPED,intro,INTRO CINEMATIC - ACN NEWSCAST (Part IV.0),sal,SAL,"Delighted, oblivious, as junk food rains down.",FREE NACHOS! Best day ever!,27
vo_intro_007_anchor,SHIPPED,intro,INTRO CINEMATIC - ACN NEWSCAST (Part IV.0),anchor,ACN NEWS ANCHOR,"Same composure, now grim. Beat before ""FIGHTING BACK.""",Day two of the Junk-Food Flood. The streets are buried. And folks… viewers are reporting the food is FIGHTING BACK.,115
vo_intro_008_bloom,SHIPPED,intro,INTRO CINEMATIC - ACN NEWSCAST (Part IV.0),bloom,MAYOR ADA BLOOM,"Full panic, voice cracking.","Danny, it won't stop! It's — it's ALIVE!",40
vo_intro_009_danny,SHIPPED,intro,INTRO CINEMATIC - ACN NEWSCAST (Part IV.0),danny,SUPER DUDE DANNY,Gutted. Almost a whisper. The lowest point in the game.,I did this.,11
vo_intro_010_danny,SHIPPED,intro,INTRO CINEMATIC - ACN NEWSCAST (Part IV.0),danny,SUPER DUDE DANNY,A small hopeful lift. Resolve starting.,…but I know who can help me fix it.,35
vo_intro_011_danny,SHIPPED,intro,INTRO CINEMATIC - ACN NEWSCAST (Part IV.0),danny,SUPER DUDE DANNY,Full hero. Rallying cry. This is the tag line.,Crew — Adventure City needs us. Super Dude… GO!,47
vo_s1_001_danny,SHIPPED,s1,"STAGE 1 ""THE BIG OOPS"" - Central District (Part IV.1)",danny,SUPER DUDE DANNY,B1 start. Psyching himself up.,Okay — clear a path so folks can get out. Here goes nothing!,60
vo_s1_002_bloom,SHIPPED,s1,"STAGE 1 ""THE BIG OOPS"" - Central District (Part IV.1)",bloom,MAYOR ADA BLOOM,"B1 clear. Calling down from a window, grateful then panicked.",Bless you! But the power's out — the doors are all locked tight!,64
vo_s1_003_danny,SHIPPED,s1,"STAGE 1 ""THE BIG OOPS"" - Central District (Part IV.1)",danny,SUPER DUDE DANNY,"B2 start. Focused, worried about Vic.","No power, no rescue. Vic's signal is coming from Frostbite Bank — I need three fuses to reach her.",98
vo_s1_004_sal,SHIPPED,s1,"STAGE 1 ""THE BIG OOPS"" - Central District (Part IV.1)",sal,SAL,"At the diner, handing over a fuse, utterly unbothered.","Fuse? Sure, take it — say, you want a chili dog for the road? …No? Your loss!",77
vo_s1_005_vic,SHIPPED,s1,"STAGE 1 ""THE BIG OOPS"" - Central District (Part IV.1)",vic,TIMETECH VIC,"FIRST TIME WE HEAR VIC. Radio, crackly, faint. Dry even while trapped.","Whoever's out there — nice work. Now get the substation online, hero.",69
